CMDLINE uvicorn app.main:app
MEM 0.171875 1783105213.4397
MEM 36.328125 1783105213.5449
MEM 40.359375 1783105213.6500
MEM 41.937500 1783105213.7551
MEM 44.125000 1783105213.8601
MEM 47.515625 1783105213.9652
MEM 48.406250 1783105214.0702
MEM 48.984375 1783105214.1753
MEM 49.281250 1783105214.2804
MEM 49.875000 1783105214.3855
MEM 50.500000 1783105214.4906
MEM 53.046875 1783105214.5957
MEM 54.171875 1783105214.7008
MEM 56.562500 1783105214.8058
MEM 57.781250 1783105214.9110
MEM 59.234375 1783105215.0161
MEM 59.781250 1783105215.1211
MEM 61.000000 1783105215.2261
MEM 62.546875 1783105215.3312
MEM 63.046875 1783105215.4362
MEM 65.484375 1783105215.5413
MEM 68.046875 1783105215.6464
MEM 70.546875 1783105215.7514
MEM 70.781250 1783105215.8565
MEM 71.234375 1783105215.9616
MEM 71.515625 1783105216.0666
MEM 71.703125 1783105216.1716
MEM 71.937500 1783105216.2767
MEM 71.984375 1783105216.3817
MEM 73.078125 1783105216.4867
MEM 73.437500 1783105216.5918
MEM 74.859375 1783105216.6968
MEM 75.265625 1783105216.8018
MEM 75.703125 1783105216.9069
MEM 77.968750 1783105217.0119
MEM 79.015625 1783105217.1169
MEM 79.171875 1783105217.2219
MEM 80.343750 1783105217.3269
MEM 83.078125 1783105217.4320
MEM 84.328125 1783105217.5370
MEM 86.468750 1783105217.6421
MEM 88.562500 1783105217.7471
MEM 91.187500 1783105217.8522
MEM 93.625000 1783105217.9573
MEM 96.703125 1783105218.0623
MEM 99.203125 1783105218.1674
MEM 101.671875 1783105218.2724
MEM 104.640625 1783105218.3774
MEM 111.500000 1783105218.4825
MEM 114.312500 1783105218.5875
MEM 116.953125 1783105218.6926
MEM 118.671875 1783105218.7977
MEM 121.343750 1783105218.9027
MEM 122.875000 1783105219.0078
MEM 125.109375 1783105219.1128
MEM 127.171875 1783105219.2180
MEM 133.750000 1783105219.3230
MEM 136.531250 1783105219.4281
MEM 139.093750 1783105219.5331
MEM 142.062500 1783105219.6382
MEM 144.500000 1783105219.7432
MEM 146.109375 1783105219.8483
MEM 148.609375 1783105219.9534
MEM 150.875000 1783105220.0584
MEM 152.984375 1783105220.1634
MEM 154.921875 1783105220.2685
MEM 157.000000 1783105220.3736
MEM 159.578125 1783105220.4786
MEM 161.406250 1783105220.5837
MEM 163.671875 1783105220.6887
MEM 166.625000 1783105220.7938
MEM 169.500000 1783105220.8988
